,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,75,75,75,1134.667,1386.667,17,1
2,0,49,49,49,1134,1390,17,2
3,0,218,218,218,1135.333,1388.667,17,3
4,0,56,56,56,1134.667,1390.667,17,4
5,0,57,57,57,1135.333,1390,17,5
6,0,63,63,63,1136.667,1388.667,17,6
7,0,19,19,19,1134,1395.333,17,7
8,0,35,35,35,1134.667,1389.333,17,8
9,0,22,22,22,1135.333,1390.667,17,9
10,0,20,20,20,1133.333,1408,17,10
11,0,79,79,79,1135.333,1406,17,11
12,0,159,159,159,1136,1413.333,17,12
13,0,190,190,190,1136,1412.667,17,13
14,0,266,266,266,1137.333,1414,17,14
15,0,64,64,64,1136,1417.333,17,15
16,0,92,92,92,1135.333,1426.667,17,16
17,0,47,47,47,1132,1430,17,17
18,0,51,51,51,1136,1430,17,18
19,0,11,11,11,1132,1431.333,17,19
20,0,52,52,52,1136.667,1431.333,17,20
21,0,53,53,53,1137.333,1433.333,17,21
22,0,155,155,155,1139.333,1428.667,17,22
23,0,44,44,44,1134.667,1432.667,17,23
24,0,67,67,67,1136.667,1432,17,24
25,0,23,23,23,1133.333,1436,17,25
26,0,174,174,174,1121.333,1446,17,26
27,0,38,38,38,1120.667,1453.333,17,27
28,0,24,24,24,1107.333,1464.667,17,28
29,0,30,30,30,1104.667,1468,17,29
30,0,4,4,4,1113.333,1460.667,17,30
31,0,0,0,0,1118,1460.667,17,31
32,0,24,24,24,1119.333,1466.667,17,32
33,0,13,13,13,1120.667,1461.333,17,33
34,0,0,0,0,1122,1464,17,34
35,0,0,0,0,1116.667,1462.667,17,35
36,0,30,30,30,236,1367.667,19,1
37,0,66,66,66,229.333,1367.667,19,2
38,0,7,7,7,228,1375,19,3
39,0,8,8,8,228.667,1378.333,19,4
40,0,31,31,31,224,1378.333,19,5
41,0,20,20,20,216,1381,19,6
42,0,8,8,8,214.667,1382.333,19,7
43,0,68,68,68,206,1381,19,8
44,0,107,107,107,203.333,1381.667,19,9
45,0,22,22,22,204.667,1384.333,19,10
46,0,308,308,308,200.667,1381,19,11
47,0,20,20,20,198.667,1385.667,19,12
48,0,27,27,27,200,1382.333,19,13
49,0,35,35,35,191.333,1395,18,14
50,0,47,47,47,194.667,1391,18,15
51,0,42,42,42,195.333,1391.667,18,16
52,0,43,43,43,196.667,1392.333,18,17
53,0,16,16,16,198,1392.333,18,18
54,0,6,6,6,184.667,1393,17,19
55,0,9,9,9,171.333,1382.333,17,20
56,0,0,0,0,170,1391,17,21
57,0,8,8,8,162,1402.333,17,22
58,0,18,18,18,163.333,1402.333,17,23
59,0,12,12,12,164.667,1402.333,17,24
60,0,2,2,2,145.333,1407.667,16,25
61,0,11,11,11,143.333,1405.667,16,26
62,0,3,3,3,150.667,1402.333,16,27
63,0,2,2,2,152,1405,16,28
64,0,11,11,11,149.333,1405.667,16,29
65,0,9,9,9,152.667,1395.667,16,30
66,0,6,6,6,156,1407,16,31
67,0,10,10,10,154,1411.667,16,32
68,0,3,3,3,156.667,1410.333,16,33
69,0,16,16,16,158,1414.333,16,34
70,0,0,0,0,156.667,1413.667,16,35
71,0,6,6,6,309,1265,19,1
72,0,0,0,0,309,1266,19,2
73,0,3,3,3,308,1265,19,3
74,0,2,2,2,308,1271,19,4
75,0,3,3,3,309,1267,19,5
76,0,10,10,10,314,1263,19,6
77,0,4,4,4,310,1261,19,7
78,0,8,8,8,303,1266,19,8
79,0,0,0,0,310,1269,19,9
80,0,0,0,0,313,1264,19,10
81,0,0,0,0,313,1253,19,11
82,0,0,0,0,316,1257,19,12
83,0,2,2,2,322,1263,19,13
84,0,7,7,7,317,1262,19,14
85,0,0,0,0,308,1266,19,15
86,0,0,0,0,308,1268,19,16
87,0,0,0,0,320,1270,19,17
88,0,0,0,0,319,1264,19,18
89,0,6,6,6,310,1262,18,19
90,0,0,0,0,309,1264,18,20
91,0,0,0,0,302,1263,18,21
92,0,0,0,0,301,1262,18,22
93,0,0,0,0,299,1260,18,23
94,0,0,0,0,294,1263,18,24
95,0,0,0,0,286,1266,18,25
96,0,4,4,4,305,1263,19,26
97,0,0,0,0,313,1259,19,27
98,0,0,0,0,305,1257,19,28
99,0,0,0,0,301,1257,19,29
100,0,0,0,0,310,1260,19,30
101,0,1,1,1,312,1252,19,31
102,0,0,0,0,311,1248,19,32
103,0,7,7,7,325,1253,19,33
104,0,7,7,7,328,1251,19,34
105,0,5,5,5,331,1255,19,35
106,0,25,25,25,198.667,975.667,19,1
107,0,39,39,39,199.333,975.667,19,2
108,0,21,21,21,194.667,971,19,3
109,0,29,29,29,193.333,966.333,19,4
110,0,21,21,21,193.333,960.333,19,5
111,0,38,38,38,194,955.667,19,6
112,0,73,73,73,192,952.333,19,7
113,0,78,78,78,189.333,951,19,8
114,0,70,70,70,184,951.667,19,9
115,0,5,5,5,182.667,949,19,10
116,0,23,23,23,178,943,19,11
117,0,14,14,14,178.667,939,19,12
118,0,11,11,11,175.333,941,19,13
119,0,21,21,21,172.667,940.333,19,14
120,0,12,12,12,176,936.333,19,15
121,0,0,0,0,180,944.333,19,16
122,0,23,23,23,183.333,944.333,19,17
123,0,11,11,11,181.333,942.333,19,18
124,0,12,12,12,182.667,945.667,19,19
125,0,10,10,10,178,943,19,20
126,0,2,2,2,182.667,945,19,21
127,0,14,14,14,180.667,945.667,19,22
128,0,15,15,15,183.333,948.333,19,23
129,0,4,4,4,176.667,949,19,24
130,0,15,15,15,178.667,951,19,25
131,0,10,10,10,186,954,19,26
132,0,14,14,14,189,956,19,27
133,0,0,0,0,191,957,19,28
134,0,0,0,0,184,962,19,29
135,0,8,8,8,184,963,19,30
136,0,14,14,14,190,965,19,31
137,0,13,13,13,186,965,19,32
138,0,6,6,6,186,969,19,33
139,0,0,0,0,181,964,19,34
140,0,0,0,0,190,964,19,35
141,0,4,4,4,362.667,666,19,1
142,0,5,5,5,358.667,666.667,19,2
143,0,4,4,4,374,676.667,19,3
144,0,6,6,6,355.333,674.667,19,4
145,0,9,9,9,351.333,674.667,19,5
146,0,1,1,1,352.667,676.667,19,6
147,0,5,5,5,356.667,674.667,19,7
148,0,4,4,4,348,686,19,8
149,0,8,8,8,339.333,689.333,19,9
150,0,9,9,9,337.333,690.667,19,10
151,0,13,13,13,332.667,697.333,19,11
152,0,0,0,0,330.667,711.333,19,12
153,0,16,16,16,320,714,19,13
154,0,12,12,12,320.667,718,19,14
155,0,2,2,2,322.667,722,19,15
156,0,4,4,4,324.667,720.667,19,16
157,0,16,16,16,330.667,718,19,17
158,0,8,8,8,328.667,720,19,18
159,0,10,10,10,328,721.333,19,19
160,0,5,5,5,328,721.333,19,20
161,0,16,16,16,326.667,724.667,19,21
162,0,1,1,1,322.667,724.667,19,22
163,0,2,2,2,322,730.667,19,23
164,0,11,11,11,324.667,727.333,19,24
165,0,7,7,7,327.333,726.667,19,25
166,0,4,4,4,319.333,730,19,26
167,0,12,12,12,326,730,19,27
168,0,7,7,7,323.333,735.333,19,28
169,0,0,0,0,324,735.333,19,29
170,0,15,15,15,320,740,19,30
171,0,0,0,0,324.667,746.667,19,31
172,0,1,1,1,314.667,739.333,19,32
173,0,8,8,8,308.667,737.333,19,33
174,0,13,13,13,306,738.667,19,34
175,0,18,18,18,309.333,740,19,35
176,0,22,22,22,801.333,1663.667,19,1
177,0,10,10,10,797.333,1664.333,19,2
178,0,0,0,0,796.667,1663,19,3
179,0,6,6,6,796.667,1657.667,19,4
180,0,12,12,12,795.333,1654.333,19,5
181,0,0,0,0,791.333,1653.667,19,6
182,0,8,8,8,792,1656,19,7
183,0,0,0,0,785,1650,19,8
184,0,7,7,7,790,1654,19,9
185,0,5,5,5,789,1652,19,10
186,0,3,3,3,790,1652,19,11
187,0,5,5,5,784,1647,19,12
188,0,3,3,3,790,1644,19,13
189,0,5,5,5,789,1647,19,14
190,0,1,1,1,786,1649,19,15
191,0,1,1,1,793,1645,19,16
192,0,8,8,8,786,1644,19,17
193,0,6,6,6,793,1646,19,18
194,0,7,7,7,792,1648,19,19
195,0,0,0,0,785,1649,19,20
196,0,6,6,6,781,1647,19,21
197,0,0,0,0,782,1647,19,22
198,0,11,11,11,783,1647,19,23
199,0,1,1,1,788,1648,19,24
200,0,0,0,0,781,1653,19,25
201,0,0,0,0,777,1651,19,26
202,0,9,9,9,774,1651,19,27
203,0,8,8,8,787,1649,19,28
204,0,0,0,0,787,1643,19,29
205,0,8,8,8,788,1642,19,30
206,0,0,0,0,794,1634,19,31
207,0,0,0,0,796,1637,19,32
208,0,1,1,1,805,1634,19,33
