,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,54,54,54,1594.833,1908.667,8,1
2,0,23,23,23,1601.333,1908,8,2
3,0,161,161,161,1605.667,1912.5,9,3
4,0,153,153,153,1608.833,1912,9,4
5,0,109,109,109,1610.833,1912.833,9,5
6,0,62,62,62,1614,1915.667,9,6
7,0,94,94,94,1616.667,1918.5,9,7
8,0,78,78,78,1616.5,1915.833,10,8
9,0,155,155,155,1617.333,1916.167,10,9
10,0,95,95,95,1618,1915.833,10,10
11,0,171,171,171,1619.167,1917.5,10,11
12,0,167,167,167,1624.333,1920.333,10,12
13,0,185,185,185,1627.5,1920.333,10,13
14,0,223,223,223,1634.333,1921.5,10,14
15,0,190,190,190,1640.667,1922.833,10,15
16,0,124,124,124,1643.167,1922.5,10,16
17,0,89,89,89,1644.333,1919.667,10,17
18,0,170,170,170,1649.667,1918.667,11,18
19,0,257,257,257,1654.5,1917.333,11,19
20,0,140,140,140,1657.333,1915.833,11,20
21,0,185,185,185,1663.167,1915.333,11,21
22,0,97,97,97,1664.5,1913.667,11,22
23,0,71,71,71,1667.167,1909.833,11,23
24,0,37,37,37,1671.5,1910.667,11,24
25,0,139,139,139,1671.5,1911,12,25
26,0,153,153,153,1666.333,1911.5,12,26
27,0,194,194,194,1671.667,1911.333,12,27
28,0,100,100,100,1669.833,1910.833,12,28
29,0,141,141,141,1670.333,1910.333,12,29
30,0,143,143,143,1669.333,1910.5,12,30
31,0,398,398,398,1676,1908.667,12,31
32,0,249,249,249,1683.667,1905.167,12,32
33,0,177,177,177,1682.667,1904,12,33
34,0,286,286,286,1679.667,1905.833,12,34
35,0,56,56,56,1593.833,1885.167,10,1
36,0,47,47,47,1602.5,1875.667,11,2
37,0,54,54,54,1605.333,1874.833,11,3
38,0,181,181,181,1612.333,1873.5,11,4
39,0,155,155,155,1614,1873.833,11,5
40,0,128,128,128,1614.5,1872,11,6
41,0,137,137,137,1616,1870.333,12,7
42,0,136,136,136,1623.833,1863.833,12,8
43,0,242,242,242,1627.667,1861.667,12,9
44,0,142,142,142,1632.333,1859.667,12,10
45,0,49,49,49,1637.5,1856.833,13,11
46,0,136,136,136,1638.833,1855.167,13,12
47,0,92,92,92,1640,1854.667,13,13
48,0,109,109,109,1641.167,1853.833,13,14
49,0,161,161,161,1644.167,1849.5,13,15
50,0,257,257,257,1645.667,1847.5,13,16
51,0,213,213,213,1643.667,1844.5,13,17
52,0,134,134,134,1642.833,1840.667,13,18
53,0,116,116,116,1645.5,1846.167,13,19
54,0,296,296,296,1645.833,1845.333,13,20
55,0,192,192,192,1645,1844.167,13,21
56,0,316,316,316,1645.5,1844.333,13,22
57,0,430,430,430,1646,1843.667,13,23
