,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,31,31,31,2171.667,1601.333,16,1
2,0,13,13,13,2171,1603.333,16,2
3,0,27,27,27,2172.333,1602.667,16,3
4,0,5,5,5,2165.667,1600.667,16,4
5,0,10,10,10,2171.667,1603.333,16,5
6,0,0,0,0,2159,1606,16,6
7,0,12,12,12,2157,1602,17,7
8,0,14,14,14,2152.333,1602.667,17,8
9,0,30,30,30,2152.333,1600.667,17,9
10,0,33,33,33,2149,1600,17,10
11,0,46,46,46,2147.667,1597.333,17,11
12,0,58,58,58,2151,1599.333,17,12
13,0,54,54,54,2153,1598.667,17,13
14,0,52,52,52,2153,1599.333,17,14
15,0,59,59,59,2153.667,1598.667,17,15
16,0,54,54,54,2154.333,1599.333,17,16
17,0,60,60,60,2153,1598.667,17,17
18,0,33,33,33,2153.667,1599.333,17,18
19,0,36,36,36,2154.333,1598,17,19
20,0,65,65,65,2153.667,1598,17,20
21,0,55,55,55,2149.667,1598.667,17,21
22,0,44,44,44,2147,1599.333,17,22
23,0,65,65,65,2144.333,1598.667,17,23
24,0,99,99,99,2139.667,1596.667,17,24
25,0,49,49,49,2141,1596.667,17,25
26,0,35,35,35,2138.333,1598.667,17,26
27,0,3,3,3,2135,1598.667,17,27
28,0,33,33,33,2132.333,1596.667,17,28
29,0,12,12,12,2133,1597.333,18,29
30,0,29,29,29,2131.667,1594.667,17,30
31,0,32,32,32,2129.667,1594,17,31
32,0,25,25,25,2127,1594.667,18,32
33,0,50,50,50,2123.667,1589.333,17,33
34,0,33,33,33,2123.667,1588.667,17,34
35,0,44,44,44,2241,1486.333,16,1
36,0,22,22,22,2242.5,1489.5,16,2
37,0,30,30,30,2246,1489.5,16,3
38,0,28,28,28,2245,1489,16,4
39,0,25,25,25,2247.5,1488.5,16,5
40,0,8,8,8,2241,1490,17,6
41,0,7,7,7,2239,1487.5,17,7
42,0,1,1,1,2240.5,1487,17,8
43,0,15,15,15,2239,1486,17,9
44,0,10,10,10,2235.5,1487.5,17,10
45,0,40,40,40,2236.5,1486,17,11
46,0,22,22,22,2234,1485,17,12
47,0,32,32,32,2236,1485.5,17,13
48,0,39,39,39,2235.5,1486,17,14
49,0,42,42,42,2234.5,1485.5,17,15
50,0,44,44,44,2234.5,1486,17,16
51,0,29,29,29,2234,1486,17,17
52,0,37,37,37,2233.5,1487,17,18
53,0,58,58,58,2232,1485.5,17,19
54,0,33,33,33,2231,1485.5,17,20
55,0,53,53,53,2233,1486.5,17,21
56,0,72,72,72,2231,1486,17,22
57,0,60,60,60,2230,1486.5,17,23
58,0,72,72,72,2229.5,1486,17,24
59,0,60,60,60,2230,1484.5,17,25
60,0,75,75,75,2227,1485.5,17,26
61,0,70,70,70,2225.5,1482.5,17,27
62,0,51,51,51,2225.5,1483,17,28
63,0,59,59,59,2225,1480,17,29
64,0,82,82,82,2222,1477.5,17,30
65,0,70,70,70,2220.5,1466.5,17,31
66,0,54,54,54,2218,1465,17,32
67,0,43,43,43,2216,1464,17,33
68,0,36,36,36,2216.5,1465,17,34
69,0,27,27,27,1993,1825.667,16,1
70,0,30,30,30,1992.5,1826.667,16,2
71,0,34,34,34,1991.667,1826.5,16,3
72,0,26,26,26,1992,1826.667,16,4
73,0,7,7,7,1988,1830.5,16,5
74,0,27,27,27,1983.167,1841.5,16,6
75,0,28,28,28,1980.667,1842.167,16,7
76,0,29,29,29,1978.5,1841.333,16,8
77,0,17,17,17,1978.667,1841.167,16,9
78,0,14,14,14,1975.5,1841,16,10
79,0,26,26,26,1977,1840.167,16,11
80,0,8,8,8,1979.333,1840.167,16,12
81,0,22,22,22,1943.333,1849,16,13
82,0,36,36,36,1950.5,1849.333,16,14
83,0,36,36,36,1950.333,1848.833,16,15
84,0,37,37,37,1948.333,1849.333,16,16
85,0,87,87,87,1955.167,1848.833,16,17
86,0,87,87,87,1954.167,1848.833,16,18
87,0,106,106,106,1953,1848.5,16,19
88,0,91,91,91,1949.5,1848.667,16,20
89,0,91,91,91,1950.667,1848.667,16,21
90,0,69,69,69,1948.167,1849,16,22
91,0,79,79,79,1945.5,1848.833,16,23
92,0,95,95,95,1942.167,1848.833,16,24
93,0,83,83,83,1941,1847.833,16,25
94,0,70,70,70,1938.333,1848.333,16,26
95,0,91,91,91,1934.667,1847.167,16,27
96,0,63,63,63,1932.667,1846,16,28
97,0,93,93,93,1932.333,1844.833,16,29
98,0,105,105,105,1932.167,1844.833,16,30
99,0,85,85,85,1931.167,1845.167,16,31
100,0,98,98,98,1930.5,1844.333,16,32
101,0,92,92,92,1930,1843.167,16,33
102,0,78,78,78,1929.167,1844,16,34
103,0,30,30,30,1281,1554.5,9,1
104,0,37,37,37,1280.333,1555.667,9,2
105,0,40,40,40,1276,1554.5,9,3
106,0,66,66,66,1286.333,1556.167,9,4
107,0,41,41,41,1279.833,1555.333,9,5
108,0,68,68,68,1278.167,1555.167,9,6
109,0,100,100,100,1276.333,1554.167,9,7
110,0,63,63,63,1274.333,1552.833,9,8
111,0,98,98,98,1275.667,1554.167,9,9
112,0,33,33,33,1274.5,1554,9,10
113,0,120,120,120,1272,1553.167,9,11
114,0,88,88,88,1271.333,1553.333,9,12
115,0,82,82,82,1271.5,1553.667,9,13
116,0,59,59,59,1272.667,1554.333,9,14
117,0,66,66,66,1272.667,1554.333,9,15
118,0,42,42,42,1271.5,1554,9,16
119,0,20,20,20,1272.833,1555,9,17
120,0,43,43,43,1271.667,1554.5,9,18
121,0,41,41,41,1270.667,1555,9,19
122,0,57,57,57,1270.333,1555.5,9,20
123,0,22,22,22,1263,1553.833,9,21
124,0,66,66,66,1262.333,1554.5,9,22
125,0,28,28,28,1262.667,1555.333,9,23
126,0,36,36,36,1264.333,1556.333,9,24
127,0,22,22,22,1261.167,1553.167,9,25
128,0,21,21,21,1263.833,1557.5,9,26
129,0,25,25,25,1263.667,1555.833,9,27
130,0,23,23,23,1263.333,1555.5,9,28
131,0,51,51,51,1263.833,1554.833,9,29
132,0,49,49,49,1263.667,1554.333,9,30
133,0,22,22,22,1263.667,1554.833,9,31
134,0,26,26,26,1263.167,1555.167,9,32
135,0,27,27,27,1264.333,1555.5,9,33
136,0,60,60,60,1264.167,1555.833,9,34
137,0,580,580,580,1308,1652.167,9,1
138,0,170,170,170,1306.167,1648.5,9,2
139,0,69,69,69,1295.167,1636.167,9,3
140,0,85,85,85,1296,1636.5,9,4
141,0,134,134,134,1295.167,1636.333,9,5
142,0,157,157,157,1295.167,1635.833,9,6
143,0,163,163,163,1293.667,1634.5,9,7
144,0,222,222,222,1293,1632.833,9,8
145,0,243,243,243,1294,1633.833,9,9
146,0,198,198,198,1292.333,1632.5,9,10
147,0,313,313,313,1293.333,1633.167,9,11
148,0,293,293,293,1291.833,1631.167,9,12
149,0,342,342,342,1292.333,1631.5,9,13
150,0,275,275,275,1291.833,1631.833,9,14
151,0,287,287,287,1291.667,1631.833,9,15
