,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,451,451,451,1283.333,1748.667,12,1
2,0,1191,1191,1191,1284.667,1744.667,12,2
3,0,1952,1952,1952,1287.333,1739.333,12,3
4,0,1811,1811,1811,1291.333,1743.333,12,4
5,0,586,586,586,1295.333,1734,12,5
6,0,7598,7598,7598,1292.667,1736.667,12,6
7,0,7673,7673,7673,1296.667,1738,12,7
8,0,2282,2282,2282,1303.333,1738,12,8
9,0,1060,1060,1060,1296.667,1742,12,9
10,0,7558,7558,7558,1300.667,1744.667,12,10
11,0,7634,7634,7634,1302,1744.667,12,11
12,0,7673,7673,7673,1303.333,1736.667,12,12
13,0,7672,7672,7672,1304.667,1740.667,12,13
14,0,7670,7670,7670,1307.333,1742,12,14
15,0,7675,7675,7675,1304.667,1744.667,12,15
16,0,7673,7673,7673,1303.333,1747.333,12,16
17,0,7674,7674,7674,1306,1754,12,17
18,0,7675,7675,7675,1304.667,1751.333,12,18
19,0,7672,7672,7672,1307.333,1752.667,12,19
20,0,7672,7672,7672,1306,1754,12,20
21,0,7674,7674,7674,1303.333,1755.333,12,21
22,0,7674,7674,7674,1304.667,1756.667,12,22
23,0,7382,7382,7382,1302,1758,12,23
24,0,7523,7523,7523,1299.333,1755.333,12,24
25,0,7683,7683,7683,1290,1756.667,12,25
26,0,6216,6216,6216,1290,1759.333,12,26
27,0,1637,1637,1637,1290,1767.333,12,27
28,0,5714,5714,5714,1284.667,1763.333,12,28
29,0,1902,1902,1902,1279.333,1771.333,12,29
30,0,1343,1343,1343,1276.667,1779.333,12,30
31,0,1226,1226,1226,1274,1776.667,12,31
32,0,1278,1278,1278,1275.333,1783.333,12,32
33,0,1177,1177,1177,1279.333,1784.667,12,33
34,0,1819,1819,1819,1274,1784.667,12,34
35,0,1137,1137,1137,1272.667,1791.333,12,35
36,0,412,412,412,1747,2082,9,1
37,0,333,333,333,1741,2096,9,2
38,0,53,53,53,1737,2110,9,3
39,0,69,69,69,1734,2114,9,4
40,0,443,443,443,1733,2116,10,5
41,0,242,242,242,1731,2126,10,6
42,0,130,130,130,1727,2138,10,7
43,0,68,68,68,1728,2144,10,8
44,0,274,274,274,1720,2152,10,9
45,0,150,150,150,1723,2161,10,10
46,0,269,269,269,1719,2176,10,11
47,0,168,168,168,1715,2194,10,12
48,0,59,59,59,1718,2198,10,13
49,0,395,395,395,1720,2206,10,14
50,0,22,22,22,1718,2230,10,15
