,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,775,775,775,114,240,7,1
2,0,863,863,863,118,240,7,2
3,0,851,851,851,118,234,7,3
4,0,634,634,634,118,234,7,4
5,0,965,965,965,122,238,8,5
6,0,789,789,789,122,234,8,6
7,0,1264,1264,1264,122,236,8,7
8,0,1151,1151,1151,124,234,8,8
9,0,1184,1184,1184,122,232,8,9
10,0,580,580,580,122,230,8,10
11,0,673,673,673,124,230,8,11
12,0,997,997,997,124,230,8,12
13,0,1054,1054,1054,122,230,8,13
14,0,882,882,882,126,228,8,14
15,0,706,706,706,126,226,8,15
16,0,853,853,853,128,224,8,16
17,0,541,541,541,128,222,8,17
18,0,668,668,668,130,220,8,18
19,0,999,999,999,126,224,8,19
20,0,759,759,759,130,220,8,20
21,0,452,452,452,130,218,8,21
22,0,669,669,669,128,220,8,22
23,0,950,950,950,130,224,8,23
24,0,926,926,926,126,222,8,24
25,0,1022,1022,1022,128,222,8,25
26,0,970,970,970,130,220,8,26
27,0,467,467,467,130,216,8,27
28,0,651,651,651,132,216,8,28
29,0,932,932,932,134,218,8,29
30,0,515,515,515,130,216,8,30
31,0,538,538,538,134,218,8,31
32,0,710,710,710,134,214,8,32
33,0,600,600,600,134,212,8,33
34,0,304,304,304,132,206,7,34
35,0,595,595,595,130,206,7,35
36,0,167,167,167,212,1069.333,7,1
37,0,114,114,114,213.333,1064,7,2
38,0,155,155,155,213.333,1062.667,7,3
39,0,141,141,141,213.333,1062.667,7,4
40,0,119,119,119,214.667,1064,7,5
41,0,104,104,104,213.333,1064,7,6
42,0,195,195,195,216,1062.667,7,7
43,0,134,134,134,214.667,1061.333,7,8
44,0,185,185,185,216,1060,7,9
45,0,223,223,223,217.333,1061.333,7,10
46,0,234,234,234,218.667,1061.333,7,11
47,0,276,276,276,221.333,1061.333,7,12
48,0,311,311,311,224,1061.333,7,13
49,0,400,400,400,230.667,1061.333,7,14
50,0,389,389,389,228,1061.333,7,15
51,0,229,229,229,226.667,1061.333,7,16
52,0,286,286,286,228,1060,7,17
53,0,183,183,183,233.333,1061.333,7,18
54,0,239,239,239,237.333,1058.667,7,19
55,0,197,197,197,237.333,1058.667,7,20
56,0,166,166,166,237.333,1058.667,7,21
57,0,317,317,317,240,1060,7,22
58,0,299,299,299,242.667,1058.667,7,23
59,0,416,416,416,248,1060,7,24
60,0,339,339,339,248,1057.333,7,25
61,0,480,480,480,248,1060,7,26
62,0,45,45,45,242.667,1062.667,7,27
63,0,209,209,209,245.333,1061.333,7,28
64,0,438,438,438,248,1062.667,7,29
65,0,280,280,280,248,1061.333,7,30
66,0,277,277,277,248,1062.667,7,31
67,0,186,186,186,248,1064,7,32
68,0,375,375,375,253.333,1060,8,33
69,0,323,323,323,256,1061.333,8,34
70,0,288,288,288,253.333,1061.333,8,35
71,0,720,720,720,241.667,279.333,10,1
72,0,650,650,650,244.333,279.333,10,2
73,0,1134,1134,1134,244.333,276.667,10,3
74,0,285,285,285,245.667,278,11,4
75,0,519,519,519,247,276.667,11,5
76,0,518,518,518,247,276.667,11,6
77,0,899,899,899,248.333,276.667,11,7
78,0,1014,1014,1014,249.667,275.333,11,8
79,0,1070,1070,1070,249.667,276.667,11,9
80,0,839,839,839,245.667,275.333,11,10
81,0,596,596,596,247,274,11,11
82,0,684,684,684,247,274,11,12
83,0,1380,1380,1380,249.667,274,11,13
84,0,962,962,962,251,271.333,11,14
85,0,237,237,237,252.333,274,12,15
86,0,187,187,187,252.333,274,12,16
87,0,248,248,248,253.667,274,12,17
88,0,364,364,364,255,271.333,12,18
89,0,577,577,577,255,271.333,12,19
90,0,559,559,559,260.333,268.667,12,20
91,0,429,429,429,263,270,12,21
92,0,429,429,429,265.667,268.667,12,22
93,0,577,577,577,265.667,268.667,12,23
94,0,422,422,422,265.667,268.667,12,24
95,0,473,473,473,268.333,266,12,25
96,0,543,543,543,268.333,266,12,26
97,0,336,336,336,271,264.667,12,27
98,0,372,372,372,268.333,266,12,28
99,0,378,378,378,272.333,263.333,12,29
100,0,293,293,293,273.667,264.667,12,30
101,0,441,441,441,276.333,262,12,31
102,0,391,391,391,273.667,262,12,32
103,0,266,266,266,273.667,263.333,12,33
104,0,306,306,306,273.667,263.333,12,34
105,0,374,374,374,273.667,262,12,35
106,0,1252,1252,1252,194.333,412.667,12,1
107,0,784,784,784,193,414,12,2
108,0,599,599,599,197,407.333,12,3
109,0,307,307,307,201,398,12,4
110,0,575,575,575,205,395.333,12,5
111,0,507,507,507,214.333,387.333,12,6
112,0,306,306,306,217,386,12,7
113,0,800,800,800,219.667,384.667,12,8
114,0,703,703,703,218.333,384.667,12,9
115,0,925,925,925,221,384.667,12,10
116,0,714,714,714,221,384.667,12,11
117,0,617,617,617,223.667,384.667,12,12
118,0,770,770,770,222.333,382,12,13
119,0,629,629,629,222.333,382,12,14
120,0,421,421,421,222.333,380.667,12,15
121,0,413,413,413,222.333,382,12,16
122,0,283,283,283,221,382,12,17
123,0,639,639,639,222.333,380.667,12,18
124,0,665,665,665,219.667,380.667,12,19
125,0,560,560,560,222.333,380.667,12,20
126,0,348,348,348,222.333,379.333,12,21
127,0,379,379,379,217,380.667,13,22
128,0,518,518,518,217,379.333,13,23
129,0,251,251,251,219.667,380.667,12,24
130,0,394,394,394,219.667,379.333,12,25
131,0,430,430,430,222.333,378,12,26
132,0,320,320,320,221,380.667,12,27
133,0,669,669,669,219.667,378,12,28
134,0,740,740,740,219.667,379.333,13,29
135,0,839,839,839,218.333,378,13,30
136,0,723,723,723,217,379.333,13,31
137,0,514,514,514,215.667,378,13,32
138,0,448,448,448,218.333,379.333,13,33
139,0,377,377,377,217,379.333,13,34
140,0,564,564,564,218.333,378,13,35
141,0,689,689,689,363.667,802,14,1
142,0,1187,1187,1187,371.667,799.333,14,2
143,0,828,828,828,370.333,796.667,14,3
144,0,890,890,890,370.333,795.333,14,4
145,0,984,984,984,374.333,796.667,14,5
146,0,417,417,417,374.333,795.333,15,6
147,0,555,555,555,374.333,796.667,15,7
148,0,438,438,438,375.667,796.667,15,8
149,0,303,303,303,379.667,798,15,9
150,0,431,431,431,379.667,795.333,15,10
151,0,629,629,629,377,796.667,15,11
152,0,521,521,521,378.333,796.667,15,12
153,0,681,681,681,379.667,795.333,15,13
154,0,910,910,910,377,795.333,15,14
155,0,905,905,905,377,795.333,15,15
156,0,867,867,867,375.667,798,15,16
157,0,1182,1182,1182,377,796.667,15,17
158,0,1114,1114,1114,378.333,796.667,15,18
159,0,1616,1616,1616,377,796.667,15,19
160,0,740,740,740,377,795.333,15,20
161,0,1362,1362,1362,378.333,796.667,15,21
162,0,1036,1036,1036,378.333,798,15,22
163,0,999,999,999,377,798,15,23
164,0,1041,1041,1041,379.667,796.667,15,24
165,0,1930,1930,1930,379.667,799.333,15,25
166,0,1653,1653,1653,382.333,799.333,15,26
167,0,1775,1775,1775,382.333,800.667,15,27
168,0,1255,1255,1255,379.667,802,15,28
169,0,1410,1410,1410,379.667,802,15,29
170,0,940,940,940,377,800.667,15,30
171,0,1095,1095,1095,379.667,802,15,31
172,0,993,993,993,379.667,802,15,32
173,0,1274,1274,1274,382.333,802,15,33
174,0,766,766,766,379.667,799.333,15,34
175,0,1247,1247,1247,379.667,802,15,35
176,0,1276,1276,1276,222.667,466,13,1
177,0,914,914,914,222.667,459.333,13,2
178,0,1413,1413,1413,224,454,13,3
179,0,514,514,514,225.333,447.333,13,4
180,0,2406,2406,2406,225.333,454,13,5
181,0,242,242,242,228,447.333,13,6
182,0,1008,1008,1008,226.667,448.667,13,7
183,0,622,622,622,225.333,448.667,14,8
184,0,825,825,825,225.333,448.667,14,9
185,0,1189,1189,1189,225.333,451.333,14,10
186,0,777,777,777,224,448.667,14,11
187,0,1017,1017,1017,224,448.667,14,12
188,0,951,951,951,225.333,446,14,13
189,0,998,998,998,225.333,443.333,14,14
190,0,968,968,968,226.667,443.333,14,15
191,0,1126,1126,1126,225.333,442,14,16
192,0,908,908,908,225.333,442,14,17
193,0,1290,1290,1290,225.333,436.667,14,18
194,0,871,871,871,225.333,432.667,14,19
195,0,1526,1526,1526,228,435.333,14,20
196,0,515,515,515,225.333,430,14,21
197,0,425,425,425,226.667,427.333,14,22
198,0,641,641,641,228,423.333,14,23
199,0,717,717,717,228,422,14,24
200,0,380,380,380,228,422,14,25
201,0,616,616,616,226.667,424.667,14,26
202,0,1145,1145,1145,228,424.667,14,27
203,0,733,733,733,229.333,419.333,14,28
204,0,1227,1227,1227,228,423.333,14,29
205,0,913,913,913,228,420.667,14,30
206,0,1279,1279,1279,229.333,419.333,14,31
207,0,1083,1083,1083,233.333,416.667,14,32
208,0,1401,1401,1401,230.667,418,14,33
209,0,1000,1000,1000,230.667,416.667,14,34
210,0,788,788,788,232,414,14,35
211,0,183,183,183,399.333,980,12,1
212,0,287,287,287,403.333,977.333,12,2
213,0,400,400,400,404.667,974.667,12,3
214,0,290,290,290,407.333,972,12,4
215,0,313,313,313,404.667,976,12,5
216,0,278,278,278,396.667,957.333,13,6
217,0,253,253,253,394,957.333,13,7
218,0,181,181,181,390,960,13,8
219,0,177,177,177,388.667,958.667,13,9
220,0,226,226,226,390,956,13,10
221,0,185,185,185,380.667,957.333,13,11
222,0,239,239,239,394,958.667,13,12
223,0,292,292,292,399.333,964,13,13
224,0,581,581,581,404.667,965.333,13,14
225,0,542,542,542,404.667,965.333,13,15
226,0,560,560,560,403.333,966.667,13,16
227,0,464,464,464,404.667,965.333,13,17
228,0,372,372,372,403.333,966.667,13,18
229,0,199,199,199,412.667,962.667,13,19
230,0,420,420,420,419.333,960,13,20
231,0,405,405,405,423.333,960,13,21
232,0,401,401,401,419.333,960,13,22
233,0,416,416,416,420.667,961.333,13,23
234,0,371,371,371,420.667,960,13,24
235,0,485,485,485,420.667,960,13,25
236,0,442,442,442,422,961.333,13,26
237,0,481,481,481,422,961.333,13,27
238,0,393,393,393,420.667,962.667,13,28
239,0,412,412,412,423.333,964,13,29
240,0,371,371,371,422,964,13,30
241,0,260,260,260,419.333,964,13,31
242,0,373,373,373,422,962.667,13,32
243,0,391,391,391,422,962.667,13,33
244,0,224,224,224,420.667,966.667,13,34
245,0,319,319,319,420.667,964,13,35
246,0,295,295,295,236,182,6,1
247,0,319,319,319,238.667,182,6,2
248,0,384,384,384,236,178,6,3
249,0,222,222,222,238.667,176.667,6,4
250,0,508,508,508,240,175.333,7,5
251,0,548,548,548,241.333,175.333,7,6
252,0,435,435,435,241.333,174,7,7
253,0,408,408,408,238.667,174,7,8
254,0,316,316,316,238.667,171.333,7,9
255,0,361,361,361,240,168.667,7,10
256,0,297,297,297,238.667,170,7,11
257,0,264,264,264,236,171.333,8,12
258,0,211,211,211,236,166,8,13
259,0,266,266,266,233.333,163.333,8,14
260,0,255,255,255,233.333,166,8,15
261,0,258,258,258,234.667,162,8,16
262,0,294,294,294,233.333,163.333,8,17
263,0,342,342,342,234.667,163.333,8,18
264,0,318,318,318,236,160.667,8,19
265,0,329,329,329,234.667,159.333,8,20
266,0,361,361,361,233.333,160.667,8,21
267,0,447,447,447,233.333,158,8,22
268,0,454,454,454,230.667,155.333,8,23
269,0,891,891,891,232,158,8,24
270,0,863,863,863,228,158,8,25
271,0,227,227,227,226.667,160.667,8,26
272,0,840,840,840,225.333,163.333,8,27
273,0,891,891,891,225.333,162,8,28
274,0,828,828,828,222.667,163.333,8,29
275,0,725,725,725,220,163.333,8,30
276,0,662,662,662,222.667,163.333,8,31
277,0,656,656,656,222.667,160.667,8,32
278,0,288,288,288,220,158,8,33
279,0,281,281,281,217.333,158,8,34
280,0,353,353,353,218.667,160.667,8,35
