,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,175,175,175,1395.75,990.25,8,1
2,0,509,509,509,1390.75,996.25,7,2
3,0,261,261,261,1391.25,996,7,3
4,0,313,313,313,1388,996.25,8,4
5,0,600,600,600,1388,998,8,5
6,0,983,983,983,1388,998,8,6
7,0,1069,1069,1069,1387.25,998.25,8,7
8,0,1320,1320,1320,1383,998.5,8,8
9,0,1018,1018,1018,1378.75,1002.25,8,9
10,0,521,521,521,1373.5,1007.5,8,10
11,0,504,504,504,1371.25,1007.75,8,11
12,0,436,436,436,1371.5,1008.25,8,12
13,0,428,428,428,1367.5,1009.75,8,13
14,0,293,293,293,1366.25,1011.25,8,14
15,0,592,592,592,1367.25,1009.75,8,15
16,0,324,324,324,1363.5,1011,8,16
17,0,92,92,92,1358,1013.25,8,17
18,0,148,148,148,1356,1014.25,8,18
19,0,161,161,161,1354.5,1015,8,19
20,0,227,227,227,1356.5,1015.5,8,20
21,0,225,225,225,1353.25,1015.25,8,21
22,0,256,256,256,1353,1016.5,8,22
23,0,253,253,253,1351.75,1015.75,8,23
24,0,249,249,249,1352.75,1014.25,8,24
25,0,235,235,235,1352,1015,8,25
26,0,279,279,279,1348.5,1014.75,8,26
27,0,255,255,255,1348.25,1015.25,8,27
28,0,249,249,249,1347.75,1016,8,28
29,0,336,336,336,1348.25,1014.5,8,29
30,0,327,327,327,1347,1014.5,8,30
31,0,340,340,340,1347.25,1014.25,8,31
32,0,314,314,314,1346.5,1014,8,32
33,0,323,323,323,1347,1013.75,8,33
34,0,305,305,305,1346.25,1014,8,34
35,0,319,319,319,1346,1014.25,8,35
36,0,650,650,650,1431.75,999.75,8,1
37,0,333,333,333,1427.75,999.5,8,2
38,0,336,336,336,1429,1000.75,8,3
39,0,465,465,465,1428.5,1001.25,8,4
40,0,376,376,376,1428.5,1001.25,8,5
41,0,432,432,432,1427.75,999.25,8,6
42,0,456,456,456,1428.25,1000.25,8,7
43,0,442,442,442,1427.25,1000.75,8,8
44,0,552,552,552,1427.75,999.25,8,9
45,0,662,662,662,1427.75,1001.75,8,10
46,0,740,740,740,1426.75,1002.25,8,11
47,0,962,962,962,1425.75,1002.75,8,12
48,0,612,612,612,1425,1004.75,8,13
49,0,594,594,594,1425,1004,8,14
50,0,497,497,497,1425.25,1005,8,15
51,0,561,561,561,1425.5,1005.75,8,16
52,0,617,617,617,1424.5,1005,8,17
53,0,652,652,652,1424.5,1005,8,18
54,0,660,660,660,1423.75,1004.75,8,19
55,0,475,475,475,1424.25,1006,8,20
56,0,719,719,719,1423.5,1005.75,8,21
57,0,641,641,641,1422.75,1004.75,8,22
58,0,834,834,834,1422.25,1004.75,8,23
59,0,560,560,560,1421.75,1005.25,8,24
60,0,602,602,602,1421.5,1005.25,8,25
61,0,520,520,520,1420,1006.25,8,26
62,0,572,572,572,1420.25,1006.25,8,27
63,0,530,530,530,1419.25,1008.25,8,28
64,0,705,705,705,1418.5,1008.75,8,29
65,0,733,733,733,1418.5,1008.25,8,30
66,0,707,707,707,1417.75,1007.75,8,31
67,0,818,818,818,1417,1008.5,8,32
68,0,601,601,601,1415.25,1009,8,33
69,0,555,555,555,1414.75,1010,8,34
70,0,589,589,589,1412.5,1012,8,35
71,0,312,312,312,1623.333,1062.667,5,1
72,0,379,379,379,1623.333,1063,5,2
73,0,157,157,157,1625.667,1060.833,6,3
74,0,228,228,228,1625.167,1061.667,6,4
75,0,291,291,291,1625.333,1063.5,6,5
76,0,275,275,275,1625.333,1064,6,6
77,0,332,332,332,1622,1061.333,6,7
78,0,501,501,501,1622,1061.833,6,8
79,0,443,443,443,1622,1062.667,6,9
80,0,455,455,455,1622.833,1064.333,6,10
81,0,501,501,501,1621.667,1064.5,6,11
82,0,492,492,492,1621.5,1064.667,6,12
83,0,440,440,440,1621.833,1065.167,6,13
84,0,389,389,389,1621.5,1065,6,14
85,0,409,409,409,1623,1065.833,6,15
86,0,644,644,644,1623.333,1066.333,6,16
87,0,356,356,356,1621.5,1067,6,17
88,0,513,513,513,1621.833,1067.333,6,18
89,0,657,657,657,1622.167,1066.333,6,19
90,0,271,271,271,1618.667,1063.167,6,20
91,0,166,166,166,1619.667,1062.667,7,21
92,0,211,211,211,1620.667,1063.333,7,22
93,0,219,219,219,1618.833,1063.167,7,23
94,0,225,225,225,1620.5,1063,7,24
95,0,223,223,223,1619.333,1063.833,7,25
96,0,206,206,206,1617.833,1064.167,7,26
97,0,218,218,218,1618.667,1064.167,7,27
98,0,202,202,202,1619.833,1066.167,7,28
99,0,202,202,202,1620.333,1068.5,7,29
100,0,324,324,324,1619.167,1066.667,7,30
101,0,322,322,322,1619.833,1067.667,7,31
102,0,976,976,976,1619,1070.167,7,32
103,0,282,282,282,1620.667,1069.5,8,33
104,0,485,485,485,1609,1068.5,8,34
105,0,487,487,487,1592.333,1065.667,8,35
106,0,27,27,27,1265.5,1474,8,1
107,0,12,12,12,1264.75,1473.5,8,2
108,0,0,0,0,1263.75,1473.5,8,3
109,0,24,24,24,1262.5,1480.5,8,4
110,0,25,25,25,1264.75,1476.5,8,5
111,0,3,3,3,1262.75,1475,8,6
112,0,27,27,27,1264.5,1478.25,8,7
113,0,2,2,2,1265.5,1479.5,8,8
114,0,0,0,0,1263.25,1479.25,8,9
115,0,72,72,72,1265.5,1486.5,8,10
116,0,57,57,57,1265.167,1486.833,8,11
117,0,40,40,40,1263.167,1494.167,8,12
118,0,78,78,78,1263.667,1497.667,9,13
119,0,86,86,86,1263.833,1512.833,9,14
120,0,113,113,113,1260.833,1518,9,15
121,0,183,183,183,1263.333,1530,9,16
122,0,83,83,83,1259.5,1542.333,9,17
123,0,77,77,77,1261.667,1535.833,9,18
124,0,62,62,62,1258.167,1553.167,9,19
125,0,38,38,38,1254.833,1564,9,20
126,0,39,39,39,1254.667,1575.667,9,21
127,0,118,118,118,1254.167,1581.833,9,22
128,0,91,91,91,1252.333,1591.5,9,23
129,0,72,72,72,1252.833,1595.833,9,24
130,0,95,95,95,1251.5,1608.833,9,25
131,0,87,87,87,1253.333,1622.167,9,26
132,0,55,55,55,1255.833,1628.833,9,27
133,0,53,53,53,1254.5,1632.5,9,28
134,0,42,42,42,1251.333,1647.167,9,29
135,0,55,55,55,1251,1659.833,9,30
136,0,46,46,46,1251.833,1665.167,9,31
137,0,35,35,35,1248.5,1676.5,9,32
138,0,34,34,34,1244.667,1684.833,9,33
139,0,29,29,29,1242.5,1685.5,9,34
140,0,28,28,28,1241.667,1691.833,9,35
141,0,250,250,250,1445.25,821.5,9,1
142,0,243,243,243,1445.25,819,9,2
143,0,306,306,306,1443.25,822.5,10,3
144,0,366,366,366,1443,821.25,10,4
145,0,404,404,404,1442.25,821.25,10,5
146,0,412,412,412,1442.5,821,10,6
147,0,466,466,466,1442,820.5,10,7
148,0,341,341,341,1440.75,820.25,10,8
149,0,389,389,389,1432.75,831,10,9
150,0,409,409,409,1428.25,835.25,10,10
151,0,434,434,434,1428,835.75,10,11
152,0,445,445,445,1428,835.75,10,12
153,0,448,448,448,1427,835.75,10,13
154,0,319,319,319,1427.25,837,10,14
155,0,278,278,278,1418.75,842.25,10,15
156,0,273,273,273,1418,843.5,10,16
157,0,273,273,273,1416,844.833,10,17
158,0,245,245,245,1415.667,845.333,10,18
159,0,233,233,233,1409.833,851.667,10,19
160,0,343,343,343,1407.5,854.667,10,20
161,0,337,337,337,1406,855.833,10,21
162,0,470,470,470,1405,855.5,10,22
163,0,386,386,386,1404.167,855.5,10,23
164,0,383,383,383,1402.667,855.667,10,24
165,0,339,339,339,1397.5,858.833,10,25
166,0,312,312,312,1396.833,861.833,10,26
167,0,304,304,304,1394.667,866.167,10,27
168,0,350,350,350,1393.167,876.333,10,28
169,0,361,361,361,1392.667,883.167,10,29
170,0,417,417,417,1393.167,884,10,30
171,0,456,456,456,1393.333,885,10,31
172,0,503,503,503,1392.5,885.5,10,32
173,0,485,485,485,1392.333,885.5,10,33
174,0,534,534,534,1392.167,884.833,10,34
175,0,473,473,473,1392.5,885.333,10,35
176,0,160,160,160,1414.833,798,9,1
177,0,145,145,145,1414.667,798.5,9,2
178,0,79,79,79,1414.667,798.333,10,3
179,0,75,75,75,1414.5,797.5,10,4
180,0,128,128,128,1413.333,798.167,10,5
181,0,159,159,159,1413.167,796.833,10,6
182,0,162,162,162,1413.167,796,10,7
183,0,264,264,264,1413.667,795.5,10,8
184,0,167,167,167,1411.5,797.5,10,9
185,0,168,168,168,1412.833,796.667,10,10
186,0,227,227,227,1413,795.833,10,11
187,0,142,142,142,1411.167,798,10,12
188,0,165,165,165,1411,797.333,10,13
189,0,241,241,241,1410.5,797.667,10,14
190,0,273,273,273,1409.5,798.5,10,15
191,0,209,209,209,1408.833,799.833,10,16
192,0,268,268,268,1407.167,799,10,17
193,0,267,267,267,1407.167,799,10,18
194,0,288,288,288,1404.333,799.167,10,19
195,0,261,261,261,1402.5,799.667,10,20
196,0,276,276,276,1404,799,10,21
197,0,251,251,251,1402,799.5,10,22
198,0,207,207,207,1400.833,798.5,10,23
199,0,260,260,260,1401,798.667,10,24
200,0,199,199,199,1399.5,796.5,10,25
201,0,231,231,231,1399.5,797.833,10,26
202,0,261,261,261,1398.833,796.667,10,27
203,0,185,185,185,1401,798.5,10,28
204,0,225,225,225,1399.167,797,10,29
205,0,195,195,195,1398.667,795,10,30
206,0,199,199,199,1399.167,795.833,10,31
207,0,214,214,214,1396.667,794.833,10,32
208,0,227,227,227,1398,794.5,10,33
209,0,191,191,191,1396.833,795.167,10,34
210,0,235,235,235,1397.667,794,10,35
211,0,1607,1607,1607,1582.333,745,8,1
212,0,1224,1224,1224,1581.667,746.667,8,2
213,0,1224,1224,1224,1583.167,746.5,9,3
214,0,1203,1203,1203,1581.833,747.333,9,4
215,0,1452,1452,1452,1582.667,750,9,5
216,0,1677,1677,1677,1585.167,751.833,9,6
217,0,1146,1146,1146,1584.667,754,9,7
218,0,1869,1869,1869,1587,755.5,9,8
219,0,1845,1845,1845,1587,756,9,9
220,0,1461,1461,1461,1585.5,757.333,9,10
221,0,1761,1761,1761,1584.5,759,9,11
222,0,1171,1171,1171,1586.5,760.667,9,12
223,0,1510,1510,1510,1586.333,760.833,9,13
224,0,1182,1182,1182,1585.5,761.333,9,14
225,0,1179,1179,1179,1584.833,759.5,9,15
226,0,1028,1028,1028,1584.833,759.667,9,16
227,0,1392,1392,1392,1584.667,757.167,9,17
228,0,700,700,700,1583.333,757.833,9,18
229,0,719,719,719,1582.833,753.5,9,19
230,0,1498,1498,1498,1582,752.333,9,20
231,0,1866,1866,1866,1582.5,755,9,21
232,0,369,369,369,1585.333,761.833,10,22
233,0,546,546,546,1579.167,756.167,10,23
234,0,530,530,530,1577.667,757.833,10,24
235,0,619,619,619,1577.833,758.333,10,25
236,0,700,700,700,1575.5,757.667,10,26
237,0,745,745,745,1575,759.333,10,27
238,0,687,687,687,1577.833,760,10,28
239,0,580,580,580,1577.333,757.333,10,29
240,0,642,642,642,1576.667,757,10,30
241,0,676,676,676,1576,757.833,10,31
242,0,775,775,775,1572.667,757.667,10,32
243,0,678,678,678,1575.667,758.167,10,33
244,0,716,716,716,1577.333,760,10,34
245,0,612,612,612,1578.5,757.667,10,35
246,0,525,525,525,1622.25,851.5,9,1
247,0,943,943,943,1619.75,850.25,9,2
248,0,1560,1560,1560,1616.25,851.75,9,3
249,0,1612,1612,1612,1616.25,853.25,9,4
250,0,1672,1672,1672,1615,854.75,9,5
251,0,607,607,607,1617.25,855,10,6
252,0,627,627,627,1615,855.5,10,7
253,0,597,597,597,1616.25,856.5,10,8
254,0,636,636,636,1620.5,861.25,10,9
255,0,589,589,589,1620,862.25,10,10
256,0,770,770,770,1617,863,10,11
257,0,673,673,673,1615,865.5,10,12
258,0,656,656,656,1613,862.75,10,13
259,0,891,891,891,1612,862.5,10,14
260,0,904,904,904,1612.25,861.75,10,15
261,0,787,787,787,1611.25,863,10,16
262,0,712,712,712,1610.5,861.5,10,17
263,0,598,598,598,1609.5,862.25,10,18
264,0,657,657,657,1609.25,862.75,10,19
265,0,635,635,635,1609.5,861.75,10,20
266,0,509,509,509,1609.25,861.5,10,21
267,0,577,577,577,1608.75,861.5,10,22
268,0,644,644,644,1608.5,862,10,23
269,0,888,888,888,1608.5,861,10,24
270,0,870,870,870,1609,862.25,10,25
271,0,867,867,867,1609.5,862.25,10,26
272,0,702,702,702,1608.25,862.5,10,27
273,0,1004,1004,1004,1608.5,861.25,10,28
274,0,1070,1070,1070,1608.5,862.5,10,29
275,0,809,809,809,1609,863,10,30
276,0,965,965,965,1609.25,862.5,10,31
277,0,1011,1011,1011,1610.25,862,10,32
278,0,790,790,790,1611.75,863.25,10,33
279,0,875,875,875,1609.75,863.25,10,34
280,0,773,773,773,1610,863.5,10,35
