,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,0,0,0,1107,1072,1,1
2,0,16,16,16,1106.75,1074.25,1,2
3,0,30,30,30,1109.5,1073.5,1,3
4,0,38,38,38,1112.25,1078.25,1,4
5,0,37,37,37,1112.5,1078.75,1,5
6,0,16,16,16,1108.667,1081.333,1,6
7,0,29,29,29,1107.333,1084.667,1,7
8,0,24,24,24,1098.333,1088.333,1,8
9,0,35,35,35,1090.667,1092.333,1,9
10,0,27,27,27,1094,1095,1,10
11,0,46,46,46,1097,1096.667,1,11
12,0,17,17,17,1101.667,1094.333,1,12
13,0,21,21,21,1104,1097.333,1,13
14,0,12,12,12,1105.333,1096.667,1,14
15,0,19,19,19,1104.667,1098.667,1,15
16,0,24,24,24,1102.667,1097.333,1,16
17,0,57,57,57,1100.667,1101.667,1,17
18,0,42,42,42,1100.333,1101.333,1,18
19,0,34,34,34,1100,1102,1,19
20,0,16,16,16,1100,1099.333,1,20
21,0,37,37,37,1095,1100.667,2,21
22,0,48,48,48,1096.333,1099.333,2,22
23,0,32,32,32,1093.333,1100,2,23
24,0,32,32,32,1094,1101,2,24
25,0,28,28,28,1092.333,1101.333,2,25
26,0,34,34,34,1093,1100.667,2,26
27,0,27,27,27,1090,1101.667,3,27
28,0,22,22,22,1089.333,1102.667,3,28
29,0,42,42,42,1089,1102.667,3,29
30,0,46,46,46,1088.667,1103,3,30
31,0,45,45,45,1088.667,1103,3,31
32,0,41,41,41,1088.667,1101,3,32
33,0,37,37,37,1086,1102,3,33
34,0,25,25,25,1083.333,1105,3,34
35,0,23,23,23,1083,1102,3,35
36,0,464,464,464,1366.5,859.75,11,1
37,0,638,638,638,1366,859.75,11,2
38,0,651,651,651,1364.25,866.75,11,3
39,0,148,148,148,1348.25,871.25,11,4
40,0,155,155,155,1343.5,872.75,11,5
41,0,156,156,156,1339.5,872.75,11,6
42,0,169,169,169,1334,871.75,11,7
43,0,184,184,184,1326.5,871.75,11,8
