,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,4,4,4,1481,1567,16,1
2,0,0,0,0,1482,1570,16,2
3,0,5,5,5,1484,1566,16,3
4,0,0,0,0,1490,1572,16,4
5,0,57,57,57,1497,1572,16,5
6,0,4,4,4,1502,1574,16,6
7,0,35,35,35,1506,1571,16,7
8,0,38,38,38,1507,1570,16,8
9,0,0,0,0,1506,1569,16,9
10,0,0,0,0,1512,1567,16,10
11,0,7,7,7,1514,1570,16,11
12,0,91,91,91,1525,1572,16,12
13,0,20,20,20,1526,1574,16,13
14,0,94,94,94,1532,1574,16,14
15,0,143,143,143,1533,1572,16,15
16,0,2,2,2,1538,1575,16,16
17,0,0,0,0,1542,1578,16,17
18,0,16,16,16,1547,1577,16,18
19,0,19,19,19,1541,1574,16,19
20,0,22,22,22,1557,1573,16,20
21,0,3,3,3,1582,1574,16,21
22,0,165,165,165,1581,1574,16,22
23,0,38,38,38,1590,1583,16,23
24,0,37,37,37,1588,1578,16,24
25,0,18,18,18,1607,1594,16,25
26,0,39,39,39,1602,1594,16,26
27,0,48,48,48,1603,1593,16,27
28,0,26,26,26,1600,1588,16,28
29,0,20,20,20,1606,1597,16,29
30,0,28,28,28,1604,1595,16,30
31,0,19,19,19,1604,1593,16,31
32,0,8,8,8,1605,1593,16,32
33,0,19,19,19,1605,1592,16,33
34,0,2,2,2,1604,1590,16,34
35,0,34,34,34,1759,1504,17,1
36,0,8,8,8,1767,1504,17,2
37,0,107,107,107,1765,1507,17,3
38,0,82,82,82,1766,1507,17,4
39,0,77,77,77,1765,1508,17,5
40,0,26,26,26,1765,1506,17,6
41,0,26,26,26,1769,1511,17,7
42,0,15,15,15,1775,1506,17,8
43,0,35,35,35,1772,1510,17,9
44,0,17,17,17,1767,1509,17,10
45,0,11,11,11,1774,1511,17,11
46,0,10,10,10,1777,1515,17,12
47,0,14,14,14,1780,1518,17,13
48,0,14,14,14,1784,1523,17,14
49,0,12,12,12,1784,1523,17,15
50,0,52,52,52,1785,1525,17,16
51,0,25,25,25,1791,1531,17,17
52,0,21,21,21,1789,1525,17,18
53,0,15,15,15,1793,1530,17,19
54,0,11,11,11,1797,1542,17,20
55,0,32,32,32,1799,1541,17,21
56,0,14,14,14,1800,1548,17,22
57,0,41,41,41,1799,1540,17,23
58,0,11,11,11,1803,1550,17,24
59,0,22,22,22,1801,1548,17,25
60,0,18,18,18,1800,1549,17,26
61,0,5,5,5,1800,1555,17,27
62,0,12,12,12,1798,1562,17,28
63,0,10,10,10,1794,1566,17,29
64,0,20,20,20,1789,1571,18,30
65,0,8,8,8,1788,1573,18,31
66,0,9,9,9,1790,1572,18,32
67,0,46,46,46,1791,1563,18,33
68,0,21,21,21,1792,1563,18,34
69,0,50,50,50,1821,1178,17,1
70,0,156,156,156,1819,1178,17,2
71,0,149,149,149,1818,1176,17,3
72,0,26,26,26,1819,1169,17,4
73,0,159,159,159,1817,1162,17,5
74,0,51,51,51,1819,1159,17,6
75,0,84,84,84,1817,1166,17,7
76,0,83,83,83,1817,1165,17,8
77,0,109,109,109,1815,1164,17,9
78,0,61,61,61,1818,1168,17,10
79,0,89,89,89,1816,1167,17,11
80,0,69,69,69,1817,1169,18,12
81,0,5,5,5,1817,1172,18,13
82,0,29,29,29,1820,1178,18,14
83,0,30,30,30,1815,1184,18,15
84,0,23,23,23,1819,1194,18,16
85,0,38,38,38,1817,1199,18,17
86,0,35,35,35,1815,1204,18,18
