,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,75,75,75,697.125,396.25,8,1
2,0,239,239,239,693.375,399.25,9,2
3,0,166,166,166,693.25,400.25,9,3
4,0,89,89,89,695.25,401.25,9,4
5,0,191,191,191,697.25,403.125,10,5
6,0,260,260,260,702.25,404.125,10,6
7,0,269,269,269,705.25,405.25,10,7
8,0,269,269,269,706.125,406.25,10,8
9,0,200,200,200,706.125,406,10,9
10,0,160,160,160,706.125,406.25,10,10
11,0,161,161,161,707.25,406.125,10,11
12,0,163,163,163,708.125,406,10,12
13,0,160,160,160,709.125,406,10,13
14,0,136,136,136,710.125,407.25,10,14
15,0,99,99,99,712.125,409.125,10,15
16,0,190,190,190,716.25,413.125,11,16
17,0,158,158,158,717.25,413.125,11,17
18,0,189,189,189,718.125,413.125,11,18
19,0,182,182,182,718,413,11,19
20,0,228,228,228,718.25,413,11,20
21,0,200,200,200,719.25,412.125,11,21
22,0,160,160,160,724,418.083,11,22
23,0,240,240,240,728.083,417,11,23
24,0,284,284,284,730.083,416.083,11,24
25,0,286,286,286,729,418.083,11,25
26,0,266,266,266,729,416.167,11,26
27,0,285,285,285,729,416,11,27
28,0,281,281,281,730.167,417,11,28
29,0,306,306,306,730.25,416,11,29
30,0,317,317,317,731.083,416.083,11,30
31,0,281,281,281,732.083,416.083,11,31
32,0,244,244,244,732.083,415.917,11,32
33,0,228,228,228,732.167,415.083,11,33
34,0,236,236,236,731.167,415.167,11,34
35,0,243,243,243,731.167,413.083,11,35
36,0,157,157,157,681.167,440.333,9,1
37,0,124,124,124,678.333,442.333,9,2
38,0,101,101,101,678.167,444.167,10,3
39,0,186,186,186,678.333,443.333,10,4
40,0,160,160,160,678.167,443.167,10,5
41,0,180,180,180,680.167,443.167,10,6
42,0,155,155,155,680,442.167,10,7
43,0,126,126,126,680.167,442.333,10,8
44,0,124,124,124,680.167,441.333,10,9
45,0,118,118,118,679.167,442,10,10
46,0,135,135,135,679.167,441.167,10,11
47,0,166,166,166,679.333,440.167,10,12
48,0,145,145,145,679.167,441.333,10,13
49,0,78,78,78,680.167,441.167,10,14
50,0,90,90,90,680.333,441.167,10,15
51,0,86,86,86,680,441.167,10,16
52,0,96,96,96,680.333,440.167,10,17
53,0,104,104,104,680.167,441.167,11,18
54,0,96,96,96,681.167,441.167,11,19
55,0,95,95,95,682.167,441.167,11,20
56,0,87,87,87,682,441,11,21
57,0,73,73,73,682.167,441,11,22
58,0,118,118,118,682.167,439.333,11,23
59,0,111,111,111,682.167,439,11,24
60,0,123,123,123,682.333,439.333,11,25
61,0,132,132,132,682.167,439.333,11,26
62,0,126,126,126,682,438.167,11,27
63,0,77,77,77,682.167,439,11,28
64,0,140,140,140,682.333,437.333,11,29
65,0,104,104,104,683,437.167,11,30
66,0,101,101,101,683.333,437,11,31
67,0,154,154,154,683.167,436.667,11,32
68,0,110,110,110,683.167,436.167,11,33
69,0,125,125,125,683,436.167,11,34
70,0,109,109,109,683.167,436,11,35
71,0,513,513,513,835.167,501.333,9,1
72,0,690,690,690,832.167,502.167,9,2
73,0,328,328,328,831.167,503,10,3
74,0,510,510,510,832.333,502.333,10,4
75,0,491,491,491,833.333,502.167,10,5
76,0,343,343,343,834.167,501.167,10,6
77,0,382,382,382,834.167,501.167,10,7
78,0,396,396,396,835.167,501.167,10,8
79,0,312,312,312,835.167,500.167,10,9
80,0,422,422,422,834.167,500.5,10,10
81,0,304,304,304,835.167,500.167,10,11
82,0,252,252,252,835.167,500.167,10,12
83,0,294,294,294,835,500.167,10,13
84,0,267,267,267,835.167,501.167,11,14
85,0,299,299,299,835.167,500.333,11,15
86,0,334,334,334,835.167,500.167,11,16
87,0,330,330,330,835,500,11,17
88,0,317,317,317,836.167,499.167,11,18
89,0,345,345,345,836,499.333,11,19
