,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,7340,7340,7340,2563,567,9,1
2,0,41943,41943,41943,2547,599,9,2
3,0,8388,8388,8388,2539,615,10,3
4,0,33030,33030,33030,2527,641,10,4
5,0,10485,10485,10485,2543,615,10,5
6,0,11534,11534,11534,2545,599,10,6
7,0,47710,47710,47710,2531,629,10,7
8,0,39845,39845,39845,2507,669,10,8
9,0,27787,27787,27787,2507,667,10,9
10,0,31457,31457,31457,2533,611,10,10
11,0,25165,25165,25165,2529,609,10,11
12,0,21495,21495,21495,2537,617,10,12
13,0,9437,9437,9437,2553,603,10,13
14,0,65535,65535,65535,2551,611,10,14
15,0,65535,65535,65535,2549,607,10,15
16,0,3670,3670,3670,2555,611,11,16
17,0,4718,4718,4718,2557,619,11,17
18,0,6815,6815,6815,2543,667,11,18
19,0,41418,41418,41418,2533,699,11,19
20,0,22020,22020,22020,2535,699,11,20
21,0,6815,6815,6815,2543,667,11,21
22,0,13631,13631,13631,2543,623,11,22
23,0,31457,31457,31457,2569,683,11,23
24,0,24641,24641,24641,2575,690,11,24
25,0,33554,33554,33554,2575,694,11,25
26,0,20447,20447,20447,2583,722,11,26
27,0,24641,24641,24641,2593,744,11,27
28,0,14680,14680,14680,2619,790,11,28
29,0,29360,29360,29360,2635,822,11,29
30,0,36175,36175,36175,2643,842,11,30
31,0,28311,28311,28311,2651,870,11,31
32,0,9961,9961,9961,2649,862,11,32
33,0,14680,14680,14680,2645,846,11,33
34,0,1048,1048,1048,2647,844,11,34
35,0,8912,8912,8912,2649,852,11,35
36,0,7864,7864,7864,2567.667,568,9,1
37,0,46137,46137,46137,2546.333,600,9,2
38,0,11010,11010,11010,2537,613.333,10,3
39,0,35127,35127,35127,2527.667,640,10,4
40,0,9437,9437,9437,2537,617.333,10,5
41,0,15728,15728,15728,2545,602.667,10,6
42,0,59244,59244,59244,2529,628,10,7
43,0,17825,17825,17825,2508.333,674.333,11,8
44,0,9961,9961,9961,2511,670.333,11,9
45,0,3145,3145,3145,2507.333,667.667,11,10
46,0,0,0,0,2524.333,641,11,11
47,0,1048,1048,1048,2527,639.667,11,12
48,0,0,0,0,2544.333,618.333,11,13
49,0,6815,6815,6815,2552.333,607.667,11,14
50,0,3670,3670,3670,2552.333,607.667,11,15
51,0,0,0,0,2555.333,605,11,16
52,0,4194,4194,4194,2554,619.667,11,17
53,0,12058,12058,12058,2540.667,663.667,11,18
54,0,29360,29360,29360,2532.667,698.333,11,19
55,0,23068,23068,23068,2535.333,698.333,11,20
56,0,3670,3670,3670,2543.333,663.667,11,21
57,0,18350,18350,18350,2544.667,621,11,22
58,0,30932,30932,30932,2568.667,686.333,11,23
59,0,29360,29360,29360,2575.333,693,11,24
60,0,45613,45613,45613,2572.667,697,11,25
61,0,15204,15204,15204,2580.667,725,11,26
62,0,24641,24641,24641,2596.667,749,11,27
63,0,26214,26214,26214,2616.667,789,11,28
64,0,33030,33030,33030,2634,821,11,29
65,0,36700,36700,36700,2646,846.333,11,30
66,0,34603,34603,34603,2651.333,873,11,31
67,0,13107,13107,13107,2646,857,11,32
68,0,16777,16777,16777,2646,845,11,33
69,0,13631,13631,13631,2646,846.333,11,34
70,0,7340,7340,7340,2652.667,853,11,35
71,0,18874,18874,18874,2383.25,573.25,10,1
